Adcorp,Industrials,South Africa,Africa,Board diversity,Board race - Foreign national,%,-,30,8,9
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Black board members,%,56
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Female board members,%,22
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board composition,Independent non-executive directors,%,67
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Board members under 50 years,%,12
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Board members between 50 to 59 years,%,12
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Board members between 60 to 69 years,%,53
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Board members 70 years and older,%,23
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Black board members,%,59
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,White board members,%,35
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Other African board members,%,6
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Female board members,%,18
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Male board members,%,82
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Executive directors,%,24
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Non-executive director,%,6
African Rainbow Minerals (ARM),Basic Materials,South Africa,Africa,Board diversity,Independent non-executive directors,%,70
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Female board members,%,42
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Male board members,%,58
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Black board members,%,50
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,White board members,%,50
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Board members between 35-49 years,%,50
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Board members between 50-59 years,%,25
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Board members between 60-69 years,%,25
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Independent non-executive directors,%,25
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Non-executive directors,%,58
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Executive directors,%,17
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Average tenure for non-executives,Years,6.5
AfroCentric Group,Healthcare,South Africa,Africa,Board diversity,Average tenure for independent non-executives,Years,2.5
Altron,Technology,South Africa,Africa,Board diversity,Black female board members,%,30
Altron,Technology,South Africa,Africa,Board diversity,Black male board members,%,20
Altron,Technology,South Africa,Africa,Board diversity,White male board members,%,50
Altron,Technology,South Africa,Africa,Board diversity,Board members between 30-50,%,30
Altron,Technology,South Africa,Africa,Board diversity,Board members over 50,%,70
Anglo American Platinum,Basic Materials,South Africa,Africa,Board tenure,Board tenure - More than 9 years,Years,1
Anglo American Platinum,Basic Materials,South Africa,Africa,Board tenure,Board tenure - 7-9 years,Years,4
Anglo American Platinum,Basic Materials,South Africa,Africa,Board tenure,Board tenure - 4-6 years,Years,0
Anglo American Platinum,Basic Materials,South Africa,Africa,Board tenure,Board tenure - 1-3 years,Years,5
Anglo American Platinum,Basic Materials,South Africa,Africa,Board tenure,Board tenure - Less than one year,Years,2
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,White board members,%,50
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,Black board members,%,50
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,Male board members,%,83.3
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,Female board members,%,16.7
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,Board members under 50 years,%,50
Ascendis Health,Healthcare,South Africa,Africa,Board diversity,Board members between 51-60 years,%,50
Ascendis Health,Healthcare,South Africa,Africa,Board tenure,Board tenure - <1 year,%,16.7
Ascendis Health,Healthcare,South Africa,Africa,Board tenure,Board tenure - 1-3 years,%,93.3
Ascendis Health,Healthcare,South Africa,Africa,Board composition,Executive directors,%,16.7
Ascendis Health,Healthcare,South Africa,Africa,Board composition,Non-executive directors,%,33.3
Ascendis Health,Healthcare,South Africa,Africa,Board composition,Independent non-executive directors,%,50
Aspen Pharmacare,Healthcare,South Africa,Africa,Board diversity,Female board members,%,22
Aspen Pharmacare,Healthcare,South Africa,Africa,Board diversity,Black board members,%,33
Aspen Pharmacare,Healthcare,South Africa,Africa,B-BBEE level,B-BBEE level,Level,4
Attacq Limited,Real Estate,South Africa,Africa,Board tenure,Tenure- 0.3 years,%,36.4
Attacq Limited,Real Estate,South Africa,Africa,Board tenure,Tenure- 4-8 years,%,45.5
Attacq Limited,Real Estate,South Africa,Africa,Board tenure,Tenure- 9+ years,%,18.1
Attacq Limited,Real Estate,South Africa,Africa,Board tenure,Tenure- average,Years,6.6
Attacq Limited,Real Estate,South Africa,Africa,Executive,White board members,%,54.5
Attacq Limited,Real Estate,South Africa,Africa,Executive,"African, Coloured and Inidan (ACI) board members",%,45.5
Attacq Limited,Real Estate,South Africa,Africa,Executive,Executive directors,%,18.2
Attacq Limited,Real Estate,South Africa,Africa,Executive,Independent non-executive directors,%,81.8
Attacq Limited,Real Estate,South Africa,Africa,Executive,Male board members,%,63.6
Attacq Limited,Real Estate,South Africa,Africa,Executive,Female board members,%,36.4
Attacq Limited,Real Estate,South Africa,Africa,Executive,Age- 30-40 years,%,18.2
Attacq Limited,Real Estate,South Africa,Africa,Executive,Age- 41-50 years,%,18.2
Attacq Limited,Real Estate,South Africa,Africa,Executive,Age- 51-60 years,%,18.2
Attacq Limited,Real Estate,South Africa,Africa,Executive,Age- 60+ years,%,45.4
Attacq Limited,Real Estate,South Africa,Africa,Executive,Average age of board members,Years,57
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Male board members,%,57
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Female board members,%,43
AVI,Consumer Defensive,South Africa,Africa,Board diversity,African board members,%,72
AVI,Consumer Defensive,South Africa,Africa,Board diversity,White board members,%,5
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Indian board members,%,4
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Coloured board members,%,18
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Foreign board members,%,1
AVI,Consumer Defensive,South Africa,Africa,Board diversity,"Black (African, Indian, and Coloured) male board members",%,53
AVI,Consumer Defensive,South Africa,Africa,Board diversity,White male board members,%,3
AVI,Consumer Defensive,South Africa,Africa,Board diversity,"Black (African, Indian, and Coloured) female board members",%,41
AVI,Consumer Defensive,South Africa,Africa,Board diversity,White female board members,%,2
AVI,Consumer Defensive,South Africa,Africa,Board diversity,Foreign board members,%,1
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,Indepent non-executive directors,Number,4
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,Executive directors,Number,3
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,Male board members,%,70
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,Female board members,%,30
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,Black board members,Number,9
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board composition,White board members,Number,1
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Nominations (NOM) committee-Meetings,Number,3
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Nominations (NOM) committee-Attendance,%,93.3
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Audit and risk (ARC) committee-Meetings,Number,3
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Audit and risk (ARC) committee-Attendance,%,100
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Investment (INV) committee-Meetings,Number,3
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Investment (INV) committee-Attendance,%,100
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,"Social, ethics and transformation (SET) committee-Meetings",Number,2
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,"Social, ethics and transformation (SET) committee-Attendance",%,100
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Remuneration (REM) committee-Meetings,Number,5
AYO Technology Solutions Limited,Technology,South Africa,Africa,Board meeting,Remuneration (INV) committee-Attendance,%,100
Balwin Properties,Real Estate,South Africa,Africa,Board composition,Directors,Number,10
Balwin Properties,Real Estate,South Africa,Africa,Board composition,Independent non-executive directors,Number,7
Balwin Properties,Real Estate,South Africa,Africa,Board composition,Non-executive director,Number,1
Balwin Properties,Real Estate,South Africa,Africa,Board composition,Salaried executive directors,Number,2
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Gender -Male,%,80
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Gender -Female,%,20
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Race -White,%,60
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Race -Black,%,40
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Age -35-44 years,%,30
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Age -45-54 years,%,20
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Age -55-64 years,%,40
Balwin Properties,Real Estate,South Africa,Africa,Board diversity,Age -65-70 years,%,10
Balwin Properties,Real Estate,South Africa,Africa,Board tenure,Tenure-0-2 years,%,30
Balwin Properties,Real Estate,South Africa,Africa,Board tenure,Tenure-3-5 years,%,10
Balwin Properties,Real Estate,South Africa,Africa,Board tenure,Tenure-6-10 years,%,50
Balwin Properties,Real Estate,South Africa,Africa,Board tenure,Tenure-Over 11 years,%,10
Balwin Properties,Real Estate,South Africa,Africa,Executive,Annual performance bonus paid to executives and prescribed officers based on the achievement of 108% of the approved company scorecard,Rmillion,17.9
Barloworld,Industrials,South Africa,Africa,Executive,Unitary board structure,Members,11
Barloworld,Industrials,South Africa,Africa,Executive,Executive directors,Number,2
Barloworld,Industrials,South Africa,Africa,Executive,Executive directors,%,18
Barloworld,Industrials,South Africa,Africa,Executive,Independent non-executive directors,Number,9
Barloworld,Industrials,South Africa,Africa,Executive,Independent non-executive directors,%,82
Barloworld,Industrials,South Africa,Africa,Executive,Unitary board structure-Male,%,45
Barloworld,Industrials,South Africa,Africa,Executive,Unitary board structure-Female,%,55
Barloworld,Industrials,South Africa,Africa,Board meeting,Board meeting attendance,%,100
Barloworld,Industrials,South Africa,Africa,Board meeting,Committee attendance,%,100
Barloworld,Industrials,South Africa,Africa,Demographics,Independent non-executive demographic- Black,%,67
Barloworld,Industrials,South Africa,Africa,Demographics,Independent non-executive demographic- White,%,33
Barloworld,Industrials,South Africa,Africa,Demographics,Independent non-executive demographic- Male,%,44
Barloworld,Industrials,South Africa,Africa,Demographics,Independent non-executive demographic- Female,%,56
Barloworld,Industrials,South Africa,Africa,Demographics,South African independent non-executive members' demographic- Black,%,71
Barloworld,Industrials,South Africa,Africa,Demographics,South African independent non-executive members' demographic- White,%,29
Barloworld,Industrials,South Africa,Africa,Board diversity,Gender of South African non-executive members- Male,%,43
Barloworld,Industrials,South Africa,Africa,Board diversity,Gender of South African non-executive members- Female,%,57
Barloworld,Industrials,South Africa,Africa,Board tenure,Tenure 0-3 years,Years,4
Barloworld,Industrials,South Africa,Africa,Board tenure,Tenure 4-7 years,Years,5
Barloworld,Industrials,South Africa,Africa,Board diversity,Age - 53-59 years,Number,3
Barloworld,Industrials,South Africa,Africa,Board diversity,Age - 60-69 years,Number,6
Barloworld,Industrials,South Africa,Africa,Board diversity,Nationality of our board members-South Africans,Number,9
Barloworld,Industrials,South Africa,Africa,Board diversity,Nationality of our board members-Nigerian,Number,1
Barloworld,Industrials,South Africa,Africa,Board diversity,Nationality of our board members-Italian,Number,1
Barloworld,Industrials,South Africa,Africa,Compliance,Calls made to the Barloworld Ethics Line,Number of calls,132
Barloworld,Industrials,South Africa,Africa,Compliance,Inconclusive calls,Number of calls,5
Barloworld,Industrials,South Africa,Africa,Compliance,Unsubstantiated calls,Number of calls,53
Barloworld,Industrials,South Africa,Africa,Compliance,Substantiated and addressed calls,Number of calls,84
Barloworld,Industrials,South Africa,Africa,Compliance,Call subject matter-Human resources,%,71
Barloworld,Industrials,South Africa,Africa,Compliance,Call subject matter-Fraud,%,20
Barloworld,Industrials,South Africa,Africa,Compliance,Call subject matter-Procurement irregularities,%,2
Barloworld,Industrials,South Africa,Africa,Compliance,Call subject matter-Corruption,%,7
Blue Label Telecoms,Communication Services,South Africa,Africa,Board composition,Directors,Number,9
Blue Label Telecoms,Communication Services,South Africa,Africa,Executive remuneration,Bonuses awarded to three Executive Directors,Rmillion,25.926
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Board-Male,%,71
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Board-Female,%,29
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Executive committee-Male,%,75
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Executive committee-Female,%,25
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Executive committee and their direct reports-Male,%,74
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Executive committee and their direct reports-Female,%,26
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Managers-Male,%,66
Bytes Technology Group,Technology,South Africa,Africa,Board diversity,Managers-Female,%,34
Calgro M3,Real Estate,South Africa,Africa,Human rights,Number of allegations and confirmed incidents of discrimination and/or human rights incidents relating to employees,Number,0
Calgro M3,Real Estate,South Africa,Africa,B-BBEE level,B-BBEE level,Level,1
Calgro M3,Real Estate,South Africa,Africa,Board composition,Non-Executive directors,Number,1
Calgro M3,Real Estate,South Africa,Africa,Board composition,Lead Independent directors,Number,1
Calgro M3,Real Estate,South Africa,Africa,Board composition,Independent non-executive directors,Number,3
Calgro M3,Real Estate,South Africa,Africa,Board composition,Independent Chairman,Number,1
Calgro M3,Real Estate,South Africa,Africa,Board composition,Executive directors,Number,4
Calgro M3,Real Estate,South Africa,Africa,Executive,African,%,30
Calgro M3,Real Estate,South Africa,Africa,Executive,White,%,50
Calgro M3,Real Estate,South Africa,Africa,Executive,Indian,%,20
Calgro M3,Real Estate,South Africa,Africa,Executive,Male,%,90
Calgro M3,Real Estate,South Africa,Africa,Executive,Female,%,10
Calgro M3,Real Estate,South Africa,Africa,Executive,Tenure Average,Years,9
Calgro M3,Real Estate,South Africa,Africa,Executive,Tenure Average-1 to 2 years,Years,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Tenure Average-3 to 9 years,Years,5
Calgro M3,Real Estate,South Africa,Africa,Executive,Tenure Average-10+ years,Years,4
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-60+:African,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-60+:White,Number,2
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-60+:Indian,Number,0
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-50-60:African,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-50-60:White,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-50-60:Indian,Number,0
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-40-50:African,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-40-50:White,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-40-50:Indian,Number,0
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-30-40:African,Number,0
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-30-40:White,Number,1
Calgro M3,Real Estate,South Africa,Africa,Executive,Age groups-30-40:Indian,Number,2
Choppies,Consumer Defensive,South Africa,Africa,Executive,Board diversity-Male,Number,6
Choppies,Consumer Defensive,South Africa,Africa,Executive,Board diversity-Female,Number,1
Choppies,Consumer Defensive,South Africa,Africa,Executive,Executive directors,Number,1
Choppies,Consumer Defensive,South Africa,Africa,Executive,Non-executive directors,Number,2
Choppies,Consumer Defensive,South Africa,Africa,Executive,Independent non-executive directors,Number,4
Choppies,Consumer Defensive,South Africa,Africa,Executive,Board tenure- 0-4 years,Years,5
Choppies,Consumer Defensive,South Africa,Africa,Executive,Board tenure- 9+ years,Years,2
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,B-BBEE level,B-BBEE level,Level,3
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,Board diversity,Average age,Years,57
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,Board diversity,Race-Black,%,50
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,Board diversity,Race-White,%,50
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,Board diversity,Gender-Female,Number,5
City Lodge Hotels,Consumer Cyclical,South Africa,Africa,Board diversity,Gender-Male,Number,7
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Female employees top management,Number,8
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Female employees senior,Number,48
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Male)- African,Number,1
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Female)- African,Number,2
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Male)- Coloured,Number,1
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Female)- Coloured,Number,2
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Male)- Indian,Number,2
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Female)- Indian,Number,0
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Male)- Non Black (White & NSA),Number,11
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Top Management/Executives(Female)- Non Black (White & NSA),Number,4
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Male)- African,Number,9
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Female)- African,Number,9
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Male)- Coloured,Number,12
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Female)- Coloured,Number,9
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Male)- Indian,Number,8
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Female)- Indian,Number,8
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Male)- Non Black (White & NSA),Number,28
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Senior Management(Female)- Non Black (White & NSA),Number,22
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Male)- African,Number,177
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Female)- African,Number,252
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Male)- Coloured,Number,73
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Female)- Coloured,Number,100
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Male)- Indian,Number,51
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Female)- Indian,Number,89
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Male)- Non Black (White & NSA),Number,128
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Middle Management(Female)- Non Black (White & NSA),Number,193
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Male)- African,Number,781
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Female)- African,Number,1313
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Male)- Coloured,Number,223
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Female)- Coloured,Number,564
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Male)- Indian,Number,52
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Female)- Indian,Number,133
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Male)- Non Black (White & NSA),Number,68
Clicks Group Limited,Healthcare,South Africa,Africa,Executive,Junior Management(Female)- Non Black (White & NSA),Number,333
CMH Group,Consumer Cyclical,South Africa,Africa,Board tenure,Average length of service of executive committee members (excluding executive directors),Years,21
